gene_id	476822_S10
ER3413_2074	2586
ER3413_2075	2957
ER3413_2076	126
ER3413_2077	3354
ER3413_2078	2190
ER3413_2079	1988
ER3413_208	140389.7
ER3413_2080	1510
ER3413_2081	185
ER3413_2082	969
ER3413_2083	5388
ER3413_2084	2271
ER3413_2085	1648
ER3413_2086	908
ER3413_2087	2030
ER3413_2088	1999
ER3413_2089	1251
ER3413_209	17.84
ER3413_2090	1674
ER3413_2091	2317
ER3413_2092	2427
ER3413_2093	17529.58
ER3413_2095	1921
ER3413_2096	1566
ER3413_2097	2371
ER3413_2098	2618
ER3413_2099	3003
ER3413_21	532
ER3413_210	2.33
ER3413_2101	1843
ER3413_2102	1871
ER3413_2103	1878
ER3413_2104	1347
ER3413_2105	2792
ER3413_2106	3304
ER3413_2107	2367
ER3413_2108	4049
ER3413_2109	3580
ER3413_211	2112
ER3413_2110	2579
ER3413_2111	3058
ER3413_2112	2618
ER3413_2113	778
ER3413_2114	1938
ER3413_2115	2494
ER3413_2116	581
ER3413_2117	1356
ER3413_2118	3982
ER3413_2119	1917
ER3413_212	1830
ER3413_2120	424
ER3413_2121	1335
ER3413_2122	4073
ER3413_2123	496
ER3413_2124	1676
ER3413_2125	3215
ER3413_2126	4106
ER3413_2127	2451
ER3413_2128	853
ER3413_2129	7360
ER3413_213	1308
ER3413_2130	2079
ER3413_2131	2791
ER3413_2132	3771
ER3413_2133	874
ER3413_2134	1390
ER3413_2135	1413
ER3413_2136	3043
ER3413_2137	9736
ER3413_2138	9079
ER3413_2139	3381
ER3413_214	705
ER3413_2140	2436
ER3413_2141	872
ER3413_2143	307
ER3413_2144	2208
ER3413_2145	41
ER3413_2147	380
ER3413_2148	1760
ER3413_215	2046
ER3413_2150	1771.13
ER3413_2152	8741.15
ER3413_2153	2443
ER3413_2154	2516
ER3413_2155	1
ER3413_2156	0
ER3413_2157	0
ER3413_2158	0
ER3413_2159	1
ER3413_216	1871
ER3413_2160	3
ER3413_2161	2
ER3413_2162	2
ER3413_2163	0
ER3413_2164	2
ER3413_2165	1
ER3413_2166	0
ER3413_2167	0
ER3413_2168	0
ER3413_2169	318
ER3413_217	839
ER3413_2170	2934
ER3413_2171	5499
ER3413_2172	1440
ER3413_2173	844
ER3413_2174	238
ER3413_2175	1828
ER3413_2176	3610
ER3413_218	1405
ER3413_2180	9035
ER3413_2181	2462
ER3413_2182	6908
ER3413_2183	2323
ER3413_2186	970
ER3413_2187	519
ER3413_2188	1368
ER3413_2189	3566
ER3413_219	1241
ER3413_2190	988
ER3413_2191	1805
ER3413_2192	1653
ER3413_2193	5607
ER3413_2194	1309
ER3413_2195	5511
ER3413_2197	2741
ER3413_2198	1149
ER3413_22	694
ER3413_220	2.33
ER3413_2200	968
ER3413_2202	1045
ER3413_2203	1457
ER3413_2206	2272
ER3413_2207	536
ER3413_2208	1141
ER3413_2209	1658
ER3413_221	2524
ER3413_2210	1031
ER3413_2211	176
ER3413_2212	2034
ER3413_2213	2767
ER3413_2214	2047
ER3413_2215	1198.94
ER3413_2216	5658.59
ER3413_2217	1737
ER3413_2218	1600
ER3413_2219	2396
ER3413_2220	824
ER3413_2221	2091
ER3413_2222	4443
ER3413_2223	2928
ER3413_2225	3147
ER3413_2226	2207
ER3413_2227	1151
ER3413_2228	2026
ER3413_2229	4469
ER3413_223	1866
ER3413_2230	1670
ER3413_2231	998
ER3413_2232	2122
